advantage,n_random,n_fund,n_chart,n_mm_slow,n_mm_fast,time_dt,price_dt
1.0,6,4,4,1,4,78.0,0.03611602886916192
1.0,6,4,4,2,4,43.0,0.04852904697777796
1.0,6,4,5,1,4,38.0,0.029790210718794435
1.0,6,4,5,2,4,27.0,-0.04672103862316038
1.0,6,4,6,1,4,33.0,0.010988239076463407
1.0,6,4,6,2,4,23.0,-0.03134073224796102
1.0,6,4,7,1,4,29.0,0.07264386658723962
1.0,6,4,7,2,4,20.0,-0.0721667669513289
1.0,6,4,8,1,4,40.0,0.03201449882356046
1.0,6,4,8,2,4,24.0,-0.02588267044042509
1.0,6,4,9,1,4,32.0,0.0328596245412363
1.0,6,4,9,2,4,48.0,0.04544100432974202
1.0,6,5,4,1,4,46.0,0.044040883232410614
1.0,6,5,4,2,4,39.0,0.04261792660966604
1.0,6,5,5,1,4,35.0,0.033680802510634475
1.0,6,5,5,2,4,41.0,0.03170000549874352
1.0,6,5,6,1,4,42.0,0.042932772706213825
1.0,6,5,6,2,4,36.0,0.03512765226702046
1.0,6,5,7,1,4,16.0,-0.08342297177058294
1.0,6,5,7,2,4,39.0,0.024128943329006006
1.0,6,5,8,1,4,36.0,0.041605205362287526
1.0,6,5,8,2,4,38.0,0.05468559377348401
1.0,6,5,9,1,4,15.0,-0.10095312357693305
1.0,6,5,9,2,4,28.0,0.013295614181915988
1.0,6,6,4,1,4,32.0,0.037672264267123466
1.0,6,6,4,2,4,34.0,0.046333987678685004
1.0,6,6,5,1,4,45.0,0.04345505163424492
1.0,6,6,5,2,4,27.0,0.032370467530189684
1.0,6,6,6,1,4,38.0,0.031993031993501675
1.0,6,6,6,2,4,38.0,0.05268504847847413
1.0,6,6,7,1,4,40.0,0.03972605267864466
1.0,6,6,7,2,4,22.0,0.004150826796536101
1.0,6,6,8,1,4,30.0,0.037634929877642935
1.0,6,6,8,2,4,33.0,0.03994199897963035
1.0,6,6,9,1,4,20.0,0.04520334532057585
1.0,6,6,9,2,4,37.0,0.030244172467644277
1.0,6,7,4,1,4,34.0,0.03592403114441052
1.0,6,7,4,2,4,40.0,0.039210952142719704
1.0,6,7,5,1,4,32.0,0.03500689548006296
1.0,6,7,5,2,4,41.0,0.04135412117516144
1.0,6,7,6,1,4,28.0,0.02061961639415585
1.0,6,7,6,2,4,37.0,0.03546447958127308
1.0,6,7,7,1,4,37.0,0.047408005549408355
1.0,6,7,7,2,4,37.0,0.024161033397103217
1.0,6,7,8,1,4,37.0,0.05031443730280061
1.0,6,7,8,2,4,37.0,0.047672013966704604
1.0,6,7,9,1,4,37.0,0.00976831304501059
1.0,6,7,9,2,4,35.0,0.04445367295990395
1.0,6,8,4,1,4,29.0,0.03045414713452831
1.0,6,8,4,2,4,29.0,0.027946171888365304
1.0,6,8,5,1,4,29.0,0.0240720977172191
1.0,6,8,5,2,4,33.0,0.030036695433666702
1.0,6,8,6,1,4,27.0,0.03156095769006876
1.0,6,8,6,2,4,39.0,0.03643656071794017
1.0,6,8,7,1,4,55.0,0.03997077392362434
1.0,6,8,7,2,4,33.0,0.03620292966541805
1.0,6,8,8,1,4,34.0,0.04073099544742747
1.0,6,8,8,2,4,24.0,0.013347969048133594
1.0,6,8,9,1,4,28.0,0.027004329073911676
1.0,6,8,9,2,4,32.0,0.042179457248548755
1.0,6,9,4,1,4,31.0,0.03549519041980747
1.0,6,9,4,2,4,31.0,0.02992589291098019
1.0,6,9,5,1,4,30.0,0.043131418408829496
1.0,6,9,5,2,4,25.0,0.02261096864766614
1.0,6,9,6,1,4,35.0,0.013922226462607231
1.0,6,9,6,2,4,31.0,0.041206534452841996
1.0,6,9,7,1,4,27.0,0.04750588475848358
1.0,6,9,7,2,4,40.0,0.039907614416964936
1.0,6,9,8,1,4,35.0,0.05100469355375059
1.0,6,9,8,2,4,27.0,0.044715118578877
1.0,6,9,9,1,4,28.0,0.017425556324877203
1.0,6,9,9,2,4,30.0,0.029048994538032474
1.0,7,4,4,1,4,40.0,-0.06778221471659038
1.0,7,4,4,2,4,29.0,0.03043034428601469
1.0,7,4,5,1,4,41.0,0.05034929063974503
1.0,7,4,5,2,4,27.0,-0.05373095652626859
1.0,7,4,6,1,4,44.0,0.052203700462788924
1.0,7,4,6,2,4,25.0,-0.06397630916037779
1.0,7,4,7,1,4,42.0,0.04146920995572499
1.0,7,4,7,2,4,55.0,0.05202560562690233
1.0,7,4,8,1,4,32.0,0.04148979501493784
1.0,7,4,8,2,4,17.0,-0.11960093989438404
1.0,7,4,9,1,4,34.0,0.050784666763253425
1.0,7,4,9,2,4,19.0,-0.07667158041669667
1.0,7,5,4,1,4,34.0,0.032514513221202496
1.0,7,5,4,2,4,35.0,0.0424539996445025
1.0,7,5,5,1,4,32.0,0.04499372955833268
1.0,7,5,5,2,4,42.0,0.04016007220831367
1.0,7,5,6,1,4,30.0,0.023027109330210488
1.0,7,5,6,2,4,44.0,0.03695834423821807
1.0,7,5,7,1,4,37.0,0.03642300279736475
1.0,7,5,7,2,4,47.0,0.04123267525049716
1.0,7,5,8,1,4,43.0,0.06465216002880944
1.0,7,5,8,2,4,25.0,0.013000479595999051
1.0,7,5,9,1,4,40.0,0.015319464345065583
1.0,7,5,9,2,4,28.0,0.03970706598354252
1.0,7,6,4,1,4,45.0,0.048638575119838726
1.0,7,6,4,2,4,37.0,0.02526974466304537
1.0,7,6,5,1,4,37.0,0.04082625634474898
1.0,7,6,5,2,4,41.0,0.04219736176720737
1.0,7,6,6,1,4,31.0,0.020127780547928322
1.0,7,6,6,2,4,20.0,-0.02667212471232355
1.0,7,6,7,1,4,33.0,0.04580366625968368
1.0,7,6,7,2,4,35.0,0.05160389934368344
1.0,7,6,8,1,4,38.0,0.06651168687513824
1.0,7,6,8,2,4,36.0,0.056625730976489076
1.0,7,6,9,1,4,38.0,0.04791020118837606
1.0,7,6,9,2,4,34.0,0.04170630921569659
1.0,7,7,4,1,4,55.0,0.052016881343196666
1.0,7,7,4,2,4,36.0,0.033145342581707815
1.0,7,7,5,1,4,44.0,0.04496223075762153
1.0,7,7,5,2,4,35.0,0.04238887052029489
1.0,7,7,6,1,4,29.0,0.01647799446740037
1.0,7,7,6,2,4,31.0,0.015440890498817037
1.0,7,7,7,1,4,27.0,0.04009567460264537
1.0,7,7,7,2,4,21.0,0.04154482562290453
1.0,7,7,8,1,4,35.0,0.031500090744561206
1.0,7,7,8,2,4,35.0,0.02376671454992422
1.0,7,7,9,1,4,33.0,-0.012857370676850497
1.0,7,7,9,2,4,32.0,0.04299784695428006
1.0,7,8,4,1,4,28.0,0.027959682829763684
1.0,7,8,4,2,4,25.0,0.0156965107135685
1.0,7,8,5,1,4,23.0,0.01942266782692166
1.0,7,8,5,2,4,31.0,0.038418105324385554
1.0,7,8,6,1,4,31.0,0.0330584053639249
1.0,7,8,6,2,4,44.0,0.03053817711820098
1.0,7,8,7,1,4,31.0,0.03519237489408062
1.0,7,8,7,2,4,40.0,0.023945310730906597
1.0,7,8,8,1,4,25.0,0.01069968217858395
1.0,7,8,8,2,4,25.0,0.026041854882087333
1.0,7,8,9,1,4,36.0,0.03531911136228214
1.0,7,8,9,2,4,17.0,0.036366959782919775
1.0,7,9,4,1,4,34.0,0.02533770324610761
1.0,7,9,4,2,4,30.0,0.03426859249088665
1.0,7,9,5,1,4,25.0,0.01033695400350745
1.0,7,9,5,2,4,24.0,0.02098677732301075
1.0,7,9,6,1,4,40.0,0.02432419141872187
1.0,7,9,6,2,4,27.0,0.02346953636054731
1.0,7,9,7,1,4,30.0,0.042416355164494504
1.0,7,9,7,2,4,26.0,0.008728529750098468
1.0,7,9,8,1,4,34.0,0.03375143635168599
1.0,7,9,8,2,4,29.0,0.020058250585005613
1.0,7,9,9,1,4,33.0,0.04222646835910602
1.0,7,9,9,2,4,33.0,0.034954278039623164
1.0,8,4,4,1,4,30.0,0.030008076433701
1.0,8,4,4,2,4,26.0,-0.03348785458807312
1.0,8,4,5,1,4,25.0,-0.06582817874247918
1.0,8,4,5,2,4,42.0,0.053731658352905505
1.0,8,4,6,1,4,46.0,0.04943628341994592
1.0,8,4,6,2,4,26.0,-0.06065937076420452
1.0,8,4,7,1,4,46.0,0.03565404412053037
1.0,8,4,7,2,4,41.0,0.024448219868611974
1.0,8,4,8,1,4,22.0,-0.06517613207405329
1.0,8,4,8,2,4,16.0,-0.06909896079947338
